product_id,product_name,product_category,warehouse_id,warehouse_location,product_price,product_sales_quantity,month,year,Is_sales_caused_by_social_trend,Is_other_fators_caused_sales,factors_of_sales
P0997,Kitchen Appliances,Home & Garden,W5,Seattle,256.4182357102754,142,1,2024,1,0,"Seasonal Demand, Marketing Campaign, Product Launch"
P0028,Garden Tools,Home & Garden,W4,Miami,311.0897482634451,133,1,2022,1,0,"Competitor Activity, Seasonal Demand, Holiday Season"
P1437,Kitchen Appliances,Home & Garden,W5,Seattle,324.56169152839766,108,12,2024,0,0,"Marketing Campaign, Competitor Activity, Weather Impact"
P0214,Fitness Tracker,Sports Equipment,W2,Los Angeles,271.2179221347536,98,6,2022,0,0,"Local Event, Marketing Campaign, Holiday Season"
P1368,Smartphone,Electronics,W2,Los Angeles,435.9366217740484,85,11,2024,1,0,Competitor Activity
P0988,Garden Tools,Home & Garden,W4,Miami,269.5682439886928,123,1,2024,0,0,"Price Discount, Marketing Campaign, Seasonal Demand"
P0807,Yoga Mat,Sports Equipment,W1,New York,292.5568512906776,69,9,2023,0,0,"Product Launch, Weather Impact"
P1089,Laptop,Electronics,W2,Los Angeles,446.3343402766887,117,4,2024,1,0,"Competitor Activity, Weather Impact"
P0049,Laptop,Electronics,W2,Los Angeles,436.9708911051054,162,2,2022,0,0,"Price Discount, Marketing Campaign"
P0952,Smartphone,Electronics,W5,Seattle,435.0742557246899,117,12,2023,0,0,Competitor Activity
P0738,T-shirt,Clothing,W3,Chicago,195.13079268561745,115,7,2023,0,0,Weather Impact
P1060,Garden Tools,Home & Garden,W3,Chicago,344.84125370236063,115,3,2024,0,0,"Competitor Activity, Weather Impact, Marketing Campaign"
P1363,Jeans,Clothing,W1,New York,210.52481760740164,137,11,2024,0,1,"Price Discount, Weather Impact, Competitor Activity"
P0307,Jeans,Clothing,W4,Miami,185.83651783529967,101,8,2022,0,1,Holiday Season
P1231,Yoga Mat,Sports Equipment,W4,Miami,222.99546058910863,76,7,2024,0,0,"Competitor Activity, Price Discount"
P0920,Smartphone,Electronics,W1,New York,573.6935951795826,104,12,2023,0,0,"Competitor Activity, Marketing Campaign, Local Event"
P0742,Fitness Tracker,Sports Equipment,W3,Chicago,274.7609380176251,77,7,2023,0,0,Marketing Campaign
P0475,Jeans,Clothing,W5,Seattle,239.43718368954404,101,12,2022,1,0,Local Event
P0119,Yoga Mat,Sports Equipment,W5,Seattle,253.93422419156508,117,3,2022,0,0,Price Discount
P0051,Jeans,Clothing,W2,Los Angeles,222.01062586888918,110,2,2022,1,1,"Holiday Season, Price Discount, Competitor Activity"
P0880,Smartphone,Electronics,W1,New York,446.21495931761433,77,11,2023,1,0,"Seasonal Demand, Marketing Campaign"
P0434,T-shirt,Clothing,W5,Seattle,166.72854448919978,123,11,2022,0,1,"Weather Impact, Seasonal Demand"
P1327,Yoga Mat,Sports Equipment,W1,New York,278.9698507142479,75,10,2024,0,0,"Weather Impact, Holiday Season, Marketing Campaign"
P0474,T-shirt,Clothing,W5,Seattle,202.216088726904,79,12,2022,0,0,"Weather Impact, Competitor Activity"
P0528,Smartphone,Electronics,W2,Los Angeles,411.2750993301854,98,2,2023,0,1,Price Discount
P1036,Garden Tools,Home & Garden,W5,Seattle,280.78499565216794,112,2,2024,0,0,"Price Discount, Competitor Activity, Marketing Campaign"
P0064,Smartphone,Electronics,W4,Miami,456.1869019374762,119,2,2022,0,0,Marketing Campaign
P1340,Garden Tools,Home & Garden,W3,Chicago,270.9219466213456,67,10,2024,0,0,"Price Discount, Seasonal Demand, Product Launch"
P1276,Garden Tools,Home & Garden,W5,Seattle,269.04540190350326,83,8,2024,0,0,"Product Launch, Local Event, Price Discount"
P0463,Yoga Mat,Sports Equipment,W3,Chicago,258.336876509716,74,12,2022,0,1,"Holiday Season, Marketing Campaign"
P0657,Laptop,Electronics,W3,Chicago,472.616459279727,93,5,2023,0,0,"Product Launch, Marketing Campaign, Competitor Activity"
P0413,Kitchen Appliances,Home & Garden,W2,Los Angeles,308.8125465747943,101,11,2022,1,0,"Holiday Season, Competitor Activity, Local Event"
P0956,Garden Tools,Home & Garden,W5,Seattle,302.2701246339405,105,12,2023,0,0,Weather Impact
P0524,Garden Tools,Home & Garden,W1,New York,340.59944456533657,104,2,2023,0,0,"Seasonal Demand, Competitor Activity, Local Event"
P0034,T-shirt,Clothing,W5,Seattle,237.25056264596475,106,1,2022,0,0,"Product Launch, Marketing Campaign, Weather Impact"
P0368,Smartphone,Electronics,W2,Los Angeles,439.15822695785926,80,10,2022,0,0,"Competitor Activity, Marketing Campaign, Local Event"
